"","sample_year","sample_date","project_code","trip_no","effort_no","submitter_sample_id","management_area_code","location_code","fishery_code","gear_type","gear_code","submitter_specimen_id","date_sampled","field_species_code","length","length_type_code","weight","weight_type_code","gender_code","maturity_code","specimen_comment"
"1",2017,2017-09-23,"SO1","0009","KS17-5607","KS17058200201709230009","K",NA,"CO","Dredge","22",4,2017-09-23,"850",158,"SH",NA,"WH",NA,NA,NA
"2",2017,2017-09-23,"SO1","0009","KS17-5607","KS17058200201709230009","K",NA,"CO","Dredge","22",14,2017-09-23,"850",155,"SH",NA,"WH",NA,NA,NA
"3",2017,2017-09-23,"SO1","0009","KS17-5607","KS17058200201709230009","K",NA,"CO","Dredge","22",44,2017-09-23,"850",101,"SH",NA,"WH",NA,NA,NA
"4",2017,2017-09-23,"SO1","0009","KS17-5607","KS17058200201709230009","K",NA,"CO","Dredge","22",54,2017-09-23,"850",101,"SH",NA,"WH",NA,NA,NA
"5",2017,2017-09-23,"SO1","0011","KS17-5607","KS17058200201709230011","K",NA,"CO","Dredge","22",2,2017-09-23,"850",141,"SH",NA,"WH",NA,NA,NA
"6",2017,2017-09-23,"SO1","0011","KS17-5607","KS17058200201709230011","K",NA,"CO","Dredge","22",12,2017-09-23,"850",156,"SH",NA,"WH",NA,NA,NA
"7",2017,2017-09-23,"SO1","0011","KS17-5607","KS17058200201709230011","K",NA,"CO","Dredge","22",42,2017-09-23,"850",108,"SH",NA,"WH",NA,NA,NA
"8",2017,2017-09-23,"SO1","0011","KS17-5607","KS17058200201709230011","K",NA,"CO","Dredge","22",52,2017-09-23,"850",103,"SH",NA,"WH",NA,NA,NA
"9",2017,2017-09-23,"SO1","0013","KS17-5607","KS17058200201709230013","K",NA,"CO","Dredge","22",9,2017-09-23,"850",168,"SH",NA,"WH",NA,NA,NA
"10",2017,2017-09-23,"SO1","0013","KS17-5607","KS17058200201709230013","K",NA,"CO","Dredge","22",19,2017-09-23,"850",151,"SH",NA,"WH",NA,NA,NA
"11",2017,2017-09-23,"SO1","0013","KS17-5607","KS17058200201709230013","K",NA,"CO","Dredge","22",49,2017-09-23,"850",104,"SH",NA,"WH",NA,NA,NA
"12",2017,2017-09-23,"SO1","0013","KS17-5607","KS17058200201709230013","K",NA,"CO","Dredge","22",59,2017-09-23,"850",100,"SH",NA,"WH",NA,NA,NA
"13",2017,2017-09-23,"SO1","0015","KS17-5607","KS17058200201709230015","K",NA,"CO","Dredge","22",1,2017-09-23,"850",171,"SH",NA,"WH",NA,NA,NA
"14",2017,2017-09-23,"SO1","0015","KS17-5607","KS17058200201709230015","K",NA,"CO","Dredge","22",11,2017-09-23,"850",168,"SH",NA,"WH",NA,NA,NA
"15",2017,2017-09-23,"SO1","0015","KS17-5607","KS17058200201709230015","K",NA,"CO","Dredge","22",41,2017-09-23,"850",101,"SH",NA,"WH",NA,NA,NA
"16",2017,2017-09-24,"SO1","0020","KS17-5607","KS17058200201709240020","K",NA,"CO","Dredge","22",7,2017-09-24,"850",150,"SH",NA,"WH",NA,NA,NA
"17",2017,2017-09-24,"SO1","0020","KS17-5607","KS17058200201709240020","K",NA,"CO","Dredge","22",17,2017-09-24,"850",146,"SH",NA,"WH",NA,NA,NA
"18",2017,2017-09-24,"SO1","0020","KS17-5607","KS17058200201709240020","K",NA,"CO","Dredge","22",47,2017-09-24,"850",98,"SH",NA,"WH",NA,NA,NA
"19",2017,2017-09-24,"SO1","0020","KS17-5607","KS17058200201709240020","K",NA,"CO","Dredge","22",57,2017-09-24,"850",104,"SH",NA,"WH",NA,NA,NA
